ID,Turno,Codigo_da_RA
1457,Noite,5
1458,Noite,5
1459,Noite,5
1460,Noite,5
1461,Tarde,4
1462,Noite,5
1463,Noite,5
1464,Noite,5
1465,Noite,5
1466,Noite,4
1467,Noite,5
1468,Noite,6
1469,Noite,4
1470,Noite,4
1471,Noite,4
1472,Noite,4
1473,Noite,4
1474,Noite,4
1475,Noite,4
1476,Noite,4
1477,Noite,4
1478,Noite,4
1479,Noite,4
1480,Noite,4
1481,Noite,6
1482,Noite,6
1483,Noite,6
1484,Noite,6
1485,Noite,6
1486,Noite,6
1487,Noite,4
1488,Noite,4
1489,Noite,4
1490,Noite,4
1491,Noite,4
1492,Noite,4
1493,Noite,4
1494,Noite,4
1495,Noite,4
1496,Noite,4
1497,Noite,4
1498,Noite,4
1499,Noite,4
1500,Noite,4
1501,Noite,5
1502,Noite,5
1503,Noite,5
1504,Noite,5
1505,Noite,5
1506,Noite,5
1507,Noite,5
1508,Noite,5
1509,Noite,5
1510,Noite,5
1511,Noite,5
1512,Noite,5
1513,Noite,4
1514,Noite,4
1515,Noite,4
1516,Noite,5
1517,Noite,5
1518,Noite,5
1519,Noite,5
1520,Noite,6
1521,Noite,6
1522,Noite,4
1523,Noite,6
1524,Noite,4
1525,Manhã,6
1526,Manhã,6
1527,Noite,4
1528,Noite,4
1529,Noite,4
1530,Noite,4
1531,Noite,4
1532,Noite,4
1533,Noite,4
1534,Noite,4
1535,Noite,6
1536,Noite,6
1537,Noite,6
1538,Noite,6
1539,Noite,5
1540,Noite,5
1541,Noite,5
1542,Noite,5
1543,Noite,5
1544,Noite,4
1545,Noite,4
1546,Noite,4
1547,Noite,5
1548,Noite,4
1549,Noite,4
1550,Noite,4
1551,Noite,4
1552,Noite,4
1553,Noite,4
1554,Noite,4
1555,Noite,4
1556,Noite,5
1557,Noite,5
1558,Noite,5
