morador_id,codigo
313,codigo_DOC5
314,codigo_DOC1
314,codigo_DOC2
314,codigo_DOC3
314,codigo_DOC4
314,codigo_DOC5
315,codigo_DOC2
315,codigo_DOC3
316,codigo_DOC1
316,codigo_DOC2
316,codigo_DOC3
316,codigo_DOC5
317,codigo_DOC1
317,codigo_DOC3
318,codigo_DOC1
318,codigo_DOC2
318,codigo_DOC3
318,codigo_DOC4
318,codigo_DOC5
319,codigo_DOC1
319,codigo_DOC2
319,codigo_DOC4
321,codigo_DOC1
321,codigo_DOC2
321,codigo_DOC3
321,codigo_DOC4
321,codigo_DOC5
322,codigo_DOC1
322,codigo_DOC2
322,codigo_DOC3
322,codigo_DOC4
324,codigo_DOC1
324,codigo_DOC3
325,codigo_DOC1
325,codigo_DOC2
326,codigo_DOC2
329,codigo_DOC1
329,codigo_DOC2
329,codigo_DOC3
329,codigo_DOC4
329,codigo_DOC5
330,codigo_DOC1
330,codigo_DOC2
330,codigo_DOC3
331,codigo_DOC1
331,codigo_DOC2
331,codigo_DOC3
331,codigo_DOC5
332,codigo_DOC2
334,codigo_DOC2
334,codigo_DOC3
337,codigo_DOC1
337,codigo_DOC3
338,codigo_DOC1
338,codigo_DOC2
339,codigo_DOC1
339,codigo_DOC2
339,codigo_DOC3
339,codigo_DOC4
339,codigo_DOC5
341,codigo_DOC1
341,codigo_DOC3
343,codigo_DOC1
343,codigo_DOC2
343,codigo_DOC3
343,codigo_DOC4
343,codigo_DOC5
344,codigo_DOC1
344,codigo_DOC2
344,codigo_DOC3
344,codigo_DOC4
344,codigo_DOC5
345,codigo_DOC1
345,codigo_DOC2
345,codigo_DOC3
345,codigo_DOC4
345,codigo_DOC5
346,codigo_DOC1
346,codigo_DOC2
346,codigo_DOC3
346,codigo_DOC4
346,codigo_DOC5
347,codigo_DOC1
347,codigo_DOC2
347,codigo_DOC3
347,codigo_DOC4
347,codigo_DOC5
348,codigo_DOC1
348,codigo_DOC2
348,codigo_DOC3
348,codigo_DOC4
350,codigo_DOC1
350,codigo_DOC2
350,codigo_DOC3
351,codigo_DOC1
351,codigo_DOC2
351,codigo_DOC3
351,codigo_DOC4
353,codigo_DOC1
353,codigo_DOC2
353,codigo_DOC3
354,codigo_DOC2
354,codigo_DOC3
354,codigo_DOC4
355,codigo_DOC2
356,codigo_DOC5
357,codigo_DOC2
358,codigo_DOC1
358,codigo_DOC2
358,codigo_DOC3
358,codigo_DOC4
358,codigo_DOC5
359,codigo_DOC1
359,codigo_DOC2
359,codigo_DOC3
360,codigo_DOC1
360,codigo_DOC2
360,codigo_DOC3
360,codigo_DOC4
360,codigo_DOC5
362,codigo_DOC1
362,codigo_DOC5
367,codigo_DOC1
367,codigo_DOC2
367,codigo_DOC4
368,codigo_DOC1
368,codigo_DOC2
368,codigo_DOC3
368,codigo_DOC4
368,codigo_DOC5
369,codigo_DOC1
369,codigo_DOC2
369,codigo_DOC4
372,codigo_DOC1
372,codigo_DOC2
