ID,Rua_Acolhimento,Motivo_dormir_rua
558,Rua,Conflitos familiares (inclui separação)
559,Rua,Conflitos familiares (inclui separação)
560,Rua,Outros
561,Rua,Demissão do trabalho/desemprego ou perda da renda
562,Rua,Conflitos familiares (inclui separação)
563,Rua,Conflitos familiares (inclui separação)
564,Rua,Alcoolismo e/ou uso de drogas
565,Rua,Conflitos familiares (inclui separação)
566,Rua,Conflitos familiares (inclui separação)
567,Rua,Conflitos familiares (inclui separação)
568,Rua,Alcoolismo e/ou uso de drogas
569,Rua,Conflitos familiares (inclui separação)
570,Rua,Conflitos familiares (inclui separação)
571,Rua,Conflitos familiares (inclui separação)
572,Rua,Conflitos familiares (inclui separação)
573,Rua,Conflitos familiares (inclui separação)
574,Rua,Outros
575,Rua,Desentendimentos na comunidade ou vizinhança
576,Rua,Demissão do trabalho/desemprego ou perda da renda
577,Rua,Outros
578,Rua,Outros
579,Rua,Desentendimentos na comunidade ou vizinhança
580,Rua,Conflitos familiares (inclui separação)
581,Rua,Conflitos familiares (inclui separação)
582,Rua,Outros
583,Rua,Conflitos familiares (inclui separação)
584,Rua,Conflitos familiares (inclui separação)
585,Rua,Desentendimentos na comunidade ou vizinhança
586,Rua,Conflitos familiares (inclui separação)
587,Rua,Conflitos familiares (inclui separação)
588,Rua,Conflitos familiares (inclui separação)
589,Rua,Conflitos familiares (inclui separação)
590,Rua,Conflitos familiares (inclui separação)
591,Rua,Conflitos familiares (inclui separação)
592,Rua,Demissão do trabalho/desemprego ou perda da renda
